label,controller,checkpoint,checkpoint hash,height_mm,scenario,success,failure,final phase,progress,episode time,min margin,pitch-rate RMS,collision,residual norm,evidence
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0000,false,TIMEOUT,DRIVE_CLEAR,0.9734096527099609,149.98333333333332,0.15796613693237305,0.056249534793346004,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0001,true,,DRIVE_CLEAR,0.9805240631103516,149.88333333333333,0.13753509521484375,0.060107406051429293,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0002,true,,DRIVE_CLEAR,0.9512648582458496,149.91666666666666,0.14049434661865234,0.05754596977055003,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0003,false,TIMEOUT,DRIVE_CLEAR,0.9648299217224121,149.98333333333332,0.14491653442382812,0.05644045453934314,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0004,false,TIMEOUT,DRIVE_CLEAR,0.9717028141021729,149.98333333333332,0.1447596549987793,0.05875141777147198,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0005,false,TIMEOUT,DRIVE_CLEAR,0.9775195121765137,149.98333333333332,0.14537620544433594,0.0601379357414332,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0006,false,TIMEOUT,DRIVE_CLEAR,0.9515924453735352,149.98333333333332,0.15145540237426758,0.05727500993243049,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0007,false,TIMEOUT,DRIVE_CLEAR,0.9632089138031006,149.98333333333332,0.14151477813720703,0.056195403630702086,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0008,true,,DRIVE_CLEAR,0.9880173206329346,147.88333333333333,0.1566200852394104,0.05382701974781513,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0009,false,TIMEOUT,DRIVE_CLEAR,0.9837254881858826,149.98333333333332,0.15089917182922363,0.059332251575690054,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
DIAGNOSTIC_ONLY_NOT_CONFIRMATORY_EXISTING_DEVELOPMENT_DATA,B-final,C:\robotics_sim\wlr_robot\resume_validation_fsm_residual_ppo\runs\ppo_without_com\training\method-B-v34_seed-29_stage-75mm_attempt002\checkpoints\final_agent.pt,8068b09c46904dd129ef737ed1760a7dffbc69a78f8798d7c9bd21471cbabefb,75,development-h075-0010,false,TIMEOUT,DRIVE_CLEAR,0.9778074026107788,149.98333333333332,0.1470012664794922,0.05548945518080882,false,0,runs\ppo_without_com\development_gates\method-B-v34_seed-29_stage-75mm_attempt002\episodes.jsonl
